,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
0,Turtwig,Tortipouss,['Plante'],55,68,45,64,55,31,2,318.0,53.0
1,Grotle,Boskara,['Plante'],75,89,55,85,65,36,2,405.0,67.5
2,Torterra,Torterra,"['Plante', 'Sol']",95,109,75,105,85,56,2,525.0,87.5
3,Chimchar,Ouisticram,['Feu'],44,58,58,44,44,61,2,309.0,51.5
4,Monferno,Chimpenfeu,"['Feu', 'Combat']",64,78,78,52,52,81,2,405.0,67.5
5,Infernape,Simiabraz,"['Feu', 'Combat']",76,104,104,71,71,108,2,534.0,89.0
6,Piplup,Tiplouf,['Eau'],53,51,61,53,56,40,2,314.0,52.33
7,Prinplup,Prinplouf,['Eau'],64,66,81,68,76,50,2,405.0,67.5
8,Empoleon,Pingoléon,"['Eau', 'Acier']",84,86,111,88,101,60,2,530.0,88.33
9,Starly,Étourmi,"['Normal', 'Vol']",40,55,30,30,30,60,2,245.0,40.83
10,Staravia,Étourvol,"['Normal', 'Vol']",55,75,40,50,40,80,2,340.0,56.67
11,Staraptor,Étouraptor,"['Normal', 'Vol']",85,120,50,70,60,100,2,485.0,80.83
12,Bidoof,Keunotor,['Normal'],59,45,35,40,40,31,2,250.0,41.67
13,Bibarel,Castorno,"['Normal', 'Eau']",79,85,55,60,60,71,2,410.0,68.33
14,Kricketot,Crikzik,['Insecte'],37,25,25,41,41,25,2,194.0,32.33
15,Kricketune,Mélokrik,['Insecte'],77,85,55,51,51,65,2,384.0,64.0
16,Shinx,Lixy,['Électrik'],45,65,40,34,34,45,2,263.0,43.83
17,Luxio,Luxio,['Électrik'],60,85,60,49,49,60,2,363.0,60.5
18,Luxray,Luxray,['Électrik'],80,120,95,79,79,70,2,523.0,87.17
19,Budew,Rozbouton,"['Plante', 'Poison']",40,30,50,35,70,55,2,280.0,46.67
20,Roserade,Roserade,"['Plante', 'Poison']",60,70,125,65,105,90,2,515.0,85.83
21,Cranidos,Kranidos,['Roche'],67,125,30,40,30,58,2,350.0,58.33
22,Rampardos,Charkos,['Roche'],97,165,65,60,50,58,2,495.0,82.5
23,Shieldon,Dinoclier,"['Roche', 'Acier']",30,42,42,118,88,30,2,350.0,58.33
24,Bastiodon,Bastiodon,"['Roche', 'Acier']",60,52,47,168,138,30,2,495.0,82.5
25,Burmy,Cheniti,['Insecte'],40,29,29,45,45,36,2,224.0,37.33
26,Wormadam,Cheniselle,"['Insecte', 'Plante']",60,69,95,69,95,36,2,424.0,70.67
