,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
0,Sprigatito,Poussacha,['Plante'],40,61,45,54,45,65,2,310,51.67
1,Floragato,Matourgeon,['Plante'],61,80,60,63,63,83,2,410,68.33
2,Meowscarada,Miascarade,"['Plante', 'Ténèbres']",76,110,81,70,70,123,2,530,88.33
3,Fuecoco,Chochodile,['Feu'],67,45,63,59,40,36,2,310,51.67
4,Crocalor,Crocogril,['Feu'],81,55,90,78,58,49,2,411,68.5
5,Skeledirge,Flâmigator,"['Feu', 'Spectre']",104,75,110,100,75,66,2,530,88.33
6,Quaxly,Coiffeton,['Eau'],55,65,50,45,45,50,2,310,51.67
7,Quaxwell,Canarbello,['Eau'],70,85,65,65,60,65,2,410,68.33
8,Quaquaval,Palmaval,"['Eau', 'Combat']",85,120,85,80,75,85,2,530,88.33
9,Lechonk,Gourmelet,['Normal'],54,45,35,40,45,35,2,254,42.33
10,Oinkologne,Fragroin,['Normal'],110,100,59,75,80,65,2,489,81.5
11,Tarountula,Tissenboule,['Insecte'],35,41,29,45,40,20,2,210,35.0
12,Spidops,Filentrappe,['Insecte'],60,79,52,92,86,35,2,404,67.33
13,Nymble,Lilliterelle,['Insecte'],33,46,21,40,25,45,2,210,35.0
14,Lokix,Gambex,"['Insecte', 'Ténèbres']",71,102,52,78,55,92,2,450,75.0
15,Pawmi,Pohm,['Électrik'],45,50,40,20,25,60,2,240,40.0
16,Pawmo,Pohmotte,"['Électrik', 'Combat']",60,75,50,40,40,85,2,350,58.33
17,Pawmot,Pohmarmotte,"['Électrik', 'Combat']",70,115,70,70,60,105,2,490,81.67
18,Tandemaus,Compagnol,['Normal'],50,50,40,45,45,75,2,305,50.83
19,Maushold,Famignol,['Normal'],74,75,65,70,75,111,2,470,78.33
20,Fidough,Pâtachiot,['Fée'],37,55,30,70,55,65,2,312,52.0
21,Dachsbun,Briochien,['Fée'],57,80,50,115,80,95,2,477,79.5
22,Smoliv,Olivini,"['Plante', 'Normal']",41,35,58,45,51,30,2,260,43.33
23,Dolliv,Olivado,"['Plante', 'Normal']",52,53,78,60,78,33,2,354,59.0
24,Arboliva,Arboliva,"['Plante', 'Normal']",78,69,125,90,109,39,2,510,85.0
25,Squawkabilly,Tapatoès,"['Normal', 'Vol']",82,96,45,51,51,92,2,417,69.5
26,Nacli,Selutin,['Roche'],55,55,35,75,35,25,2,280,46.67
27,Naclstack,Amassel,['Roche'],60,60,35,100,65,35,2,355,59.17
28,Garganacl,Gigansel,['Roche'],100,100,45,130,90,35,2,500,83.33
29,Charcadet,Charbambin,['Feu'],40,50,50,40,40,35,2,255,42.5
30,Armarouge,Carmadura,"['Feu', 'Psy']",85,60,125,100,80,75,2,525,87.5
31,Ceruledge,Malvalame,"['Feu', 'Spectre']",75,125,60,80,100,85,2,525,87.5
32,Tadbulb,Têtampoule,['Électrik'],61,31,59,41,35,45,2,272,45.33
33,Bellibolt,Ampibidou,['Électrik'],109,64,103,91,83,45,2,495,82.5
34,Wattrel,Zapétrel,"['Électrik', 'Vol']",40,40,55,35,40,70,2,280,46.67
35,Kilowattrel,Fulgulairo,"['Électrik', 'Vol']",70,70,105,60,60,125,2,490,81.67
36,Maschiff,Grondogue,['Ténèbres'],60,78,40,60,51,51,2,340,56.67
37,Mabosstiff,Dogrino,['Ténèbres'],80,120,60,90,70,85,2,505,84.17
38,Shroodle,Gribouraigne,"['Poison', 'Normal']",40,65,40,35,35,75,2,290,48.33
39,Grafaiai,Tag-Tag,"['Poison', 'Normal']",63,95,80,65,72,110,2,485,80.83
40,Bramblin,Virovent,"['Plante', 'Spectre']",40,65,45,30,35,60,2,275,45.83
41,Brambleghast,Virevorreur,"['Plante', 'Spectre']",55,115,80,70,70,90,2,480,80.0
42,Toedscool,Terracool,"['Sol', 'Plante']",40,40,50,35,100,70,2,335,55.83
43,Toedscruel,Terracruel,"['Sol', 'Plante']",80,70,80,65,120,100,2,515,85.83
44,Klawf,Craparoi,['Roche'],70,100,35,115,55,75,2,450,75.0
45,Capsakid,Pimito,['Plante'],52,62,62,40,40,50,2,306,51.0
46,Scovillain,Scovilain,"['Plante', 'Feu']",65,108,108,65,65,75,2,486,81.0
47,Rellor,Léboulérou,['Insecte'],41,50,31,60,58,30,2,270,45.0
