,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
0,Rowlet,Brindibou,"['Plante', 'Vol']",68,55,50,55,50,42,2,320.0,53.33
1,Dartrix,Efflèche,"['Plante', 'Vol']",78,75,70,75,70,52,2,420.0,70.0
2,Decidueye,Archéduc,"['Plante', 'Spectre']",78,107,100,75,100,70,2,530.0,88.33
3,Litten,Flamiaou,['Feu'],45,65,60,40,40,70,2,320.0,53.33
4,Torracat,Matoufeu,['Feu'],65,85,80,50,50,90,2,420.0,70.0
5,Incineroar,Félinferno,"['Feu', 'Ténèbres']",95,115,80,90,90,60,2,530.0,88.33
6,Popplio,Otaquin,['Eau'],50,54,66,54,56,40,2,320.0,53.33
7,Brionne,Otarlette,['Eau'],60,69,91,69,81,50,2,420.0,70.0
8,Primarina,Oratoria,"['Eau', 'Fée']",80,74,126,74,116,60,2,530.0,88.33
9,Pikipek,Picassaut,"['Normal', 'Vol']",35,75,30,30,30,65,2,265.0,44.17
10,Trumbeak,Piclairon,"['Normal', 'Vol']",55,85,40,50,50,75,2,355.0,59.17
11,Toucannon,Bazoucan,"['Normal', 'Vol']",80,120,75,75,75,60,2,485.0,80.83
12,Yungoos,Manglouton,['Normal'],48,70,30,30,30,45,2,253.0,42.17
13,Gumshoos,Argouste,['Normal'],88,110,55,60,60,45,2,418.0,69.67
14,Grubbin,Larvibule,['Insecte'],47,62,55,45,45,46,2,300.0,50.0
15,Charjabug,Chrysapile,"['Insecte', 'Électrik']",57,82,55,95,75,36,2,400.0,66.67
16,Vikavolt,Lucanon,"['Insecte', 'Électrik']",77,70,145,90,75,43,2,500.0,83.33
17,Crabrawler,Crabagarre,['Combat'],47,82,42,57,47,63,2,338.0,56.33
18,Crabominable,Crabominable,"['Combat', 'Glace']",97,132,62,77,67,43,2,478.0,79.67
19,Oricorio,Plumeline,"['Feu', 'Vol']",75,70,70,98,70,93,2,476.0,79.33
20,Cutiefly,Bombydou,"['Insecte', 'Fée']",40,45,55,40,40,84,2,304.0,50.67
21,Ribombee,Rubombelle,"['Insecte', 'Fée']",60,55,95,60,70,124,2,464.0,77.33
22,Rockruff,Rocabot,['Roche'],45,65,30,40,40,60,2,280.0,46.67
23,Lycanroc,Lougaroc,['Roche'],75,115,55,65,65,112,2,487.0,81.17
24,Wishiwashi,Froussardine,['Eau'],45,20,25,20,25,40,2,175.0,29.17
25,Mareanie,Vorastérie,"['Poison', 'Eau']",50,53,43,62,52,45,2,305.0,50.83
26,Toxapex,Prédastérie,"['Poison', 'Eau']",50,63,53,152,142,35,2,495.0,82.5
27,Mudbray,Tiboudet,['Sol'],70,100,45,70,55,45,2,385.0,64.17
28,Mudsdale,Bourrinos,['Sol'],100,125,55,100,85,35,2,500.0,83.33
