,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
0,Victini,Victini,"['Psy', 'Feu']",100,100,100,100,100,100,2,600,100.0
1,Snivy,Vipélierre,['Plante'],45,45,45,55,55,63,2,308,51.33
2,Servine,Lianaja,['Plante'],60,60,60,75,75,83,2,413,68.83
3,Serperior,Majaspic,['Plante'],75,75,75,95,95,113,2,528,88.0
4,Tepig,Gruikui,['Feu'],65,63,45,45,45,45,2,308,51.33
5,Pignite,Grotichon,"['Feu', 'Combat']",90,93,70,55,55,55,2,418,69.67
6,Emboar,Roitiflam,"['Feu', 'Combat']",110,123,100,65,65,65,2,528,88.0
7,Oshawott,Moustillon,['Eau'],55,55,63,45,45,45,2,308,51.33
8,Dewott,Mateloutre,['Eau'],75,75,83,60,60,60,2,413,68.83
9,Samurott,Clamiral,['Eau'],95,100,108,85,70,70,2,528,88.0
10,Patrat,Ratentif,['Normal'],45,55,35,39,39,42,2,255,42.5
11,Watchog,Miradar,['Normal'],60,85,60,69,69,77,2,420,70.0
12,Lillipup,Ponchiot,['Normal'],45,60,25,45,45,55,2,275,45.83
13,Herdier,Ponchien,['Normal'],65,80,35,65,65,60,2,370,61.67
14,Stoutland,Mastouffe,['Normal'],85,110,45,90,90,80,2,500,83.33
15,Purrloin,Chacripan,['Ténèbres'],41,50,50,37,37,66,2,281,46.83
16,Liepard,Léopardus,['Ténèbres'],64,88,88,50,50,106,2,446,74.33
17,Pansage,Feuillajou,['Plante'],50,53,53,48,48,64,2,316,52.67
18,Simisage,Feuiloutan,['Plante'],75,98,98,63,63,101,2,498,83.0
19,Pansear,Flamajou,['Feu'],50,53,53,48,48,64,2,316,52.67
20,Simisear,Flamoutan,['Feu'],75,98,98,63,63,101,2,498,83.0
21,Panpour,Flotajou,['Eau'],50,53,53,48,48,64,2,316,52.67
22,Simipour,Flotoutan,['Eau'],75,98,98,63,63,101,2,498,83.0
23,Munna,Munna,['Psy'],76,25,67,45,55,24,2,292,48.67
24,Musharna,Mushana,['Psy'],116,55,107,85,95,29,2,487,81.17
25,Pidove,Poichigeon,"['Normal', 'Vol']",50,55,36,50,30,43,2,264,44.0
26,Tranquill,Colombeau,"['Normal', 'Vol']",62,77,50,62,42,65,2,358,59.67
27,Unfezant,Déflaisan,"['Normal', 'Vol']",80,115,65,80,55,93,2,488,81.33
28,Blitzle,Zébibron,['Électrik'],45,60,50,32,32,76,2,295,49.17
29,Zebstrika,Zéblitz,['Électrik'],75,100,80,63,63,116,2,497,82.83
30,Roggenrola,Nodulithe,['Roche'],55,75,25,85,25,15,2,280,46.67
31,Boldore,Géolithe,['Roche'],70,105,50,105,40,20,2,390,65.0
32,Gigalith,Gigalithe,['Roche'],85,135,60,130,80,25,2,515,85.83
33,Woobat,Chovsourir,"['Psy', 'Vol']",65,45,55,43,43,72,2,323,53.83
34,Swoobat,Rhinolove,"['Psy', 'Vol']",67,57,77,55,55,114,2,425,70.83
35,Drilbur,Rototaupe,['Sol'],60,85,30,40,45,68,2,328,54.67
36,Excadrill,Minotaupe,"['Sol', 'Acier']",110,135,50,60,65,88,2,508,84.67
37,Audino,Nanméouïe,['Normal'],103,60,60,86,86,50,2,445,74.17
38,Timburr,Charpenti,['Combat'],75,80,25,55,35,35,2,305,50.83
39,Gurdurr,Ouvrifier,['Combat'],85,105,40,85,50,40,2,405,67.5
40,Conkeldurr,Bétochef,['Combat'],105,140,55,95,65,45,2,505,84.17
41,Tympole,Tritonde,['Eau'],50,50,50,40,40,64,2,294,49.0
42,Palpitoad,Batracné,"['Eau', 'Sol']",75,65,65,55,55,69,2,384,64.0
43,Seismitoad,Crapustule,"['Eau', 'Sol']",105,95,85,75,75,74,2,509,84.83
44,Throh,Judokrak,['Combat'],120,100,30,85,85,45,2,465,77.5
45,Sawk,Karaclée,['Combat'],75,125,30,75,75,85,2,465,77.5
46,Sewaddle,Larveyette,"['Insecte', 'Plante']",45,53,40,70,60,42,2,310,51.67
47,Swadloon,Couverdure,"['Insecte', 'Plante']",55,63,50,90,80,42,2,380,63.33
48,Leavanny,Manternel,"['Insecte', 'Plante']",75,103,70,80,80,92,2,500,83.33
49,Venipede,Venipatte,"['Insecte', 'Poison']",30,45,30,59,39,57,2,260,43.33
50,Whirlipede,Scobolide,"['Insecte', 'Poison']",40,55,40,99,79,47,2,360,60.0
