,Names,Noms,Type,PV,Attaque,Attaque Spéciale,Défense,Défense Spéciale,Vitesse,Génération,Somme Stats,Moyenne Statistique
0,Treecko,Arcko,['Plante'],40,45,65,35,55,70,2,310,51.67
1,Grovyle,Massko,['Plante'],50,65,85,45,65,95,2,405,67.5
2,Sceptile,Jungko,['Plante'],70,85,105,65,85,120,2,530,88.33
3,Torchic,Poussifeu,['Feu'],45,60,70,40,50,45,2,310,51.67
4,Combusken,Galifeu,"['Feu', 'Combat']",60,85,85,60,60,55,2,405,67.5
5,Blaziken,Braségali,"['Feu', 'Combat']",80,120,110,70,70,80,2,530,88.33
6,Mudkip,Gobou,['Eau'],50,70,50,50,50,40,2,310,51.67
7,Marshtomp,Flobio,"['Eau', 'Sol']",70,85,60,70,70,50,2,405,67.5
8,Swampert,Laggron,"['Eau', 'Sol']",100,110,85,90,90,60,2,535,89.17
9,Poochyena,Medhyèna,['Ténèbres'],35,55,30,35,30,35,2,220,36.67
10,Mightyena,Grahyèna,['Ténèbres'],70,90,60,70,60,70,2,420,70.0
11,Zigzagoon,Zigzaton,['Normal'],38,30,30,41,41,60,2,240,40.0
12,Linoone,Linéon,['Normal'],78,70,50,61,61,100,2,420,70.0
13,Wurmple,Chenipotte,['Insecte'],45,45,20,35,30,20,2,195,32.5
14,Silcoon,Armulys,['Insecte'],50,35,25,55,25,15,2,205,34.17
15,Beautifly,Charmillon,"['Insecte', 'Vol']",60,70,100,50,50,65,2,395,65.83
16,Cascoon,Blindalys,['Insecte'],50,35,25,55,25,15,2,205,34.17
17,Dustox,Papinox,"['Insecte', 'Poison']",60,50,50,70,90,65,2,385,64.17
18,Lotad,Nénupiot,"['Eau', 'Plante']",40,30,40,30,50,30,2,220,36.67
19,Lombre,Lombre,"['Eau', 'Plante']",60,50,60,50,70,50,2,340,56.67
20,Ludicolo,Ludicolo,"['Eau', 'Plante']",80,70,90,70,100,70,2,480,80.0
21,Seedot,Grainipiot,['Plante'],40,40,30,50,30,30,2,220,36.67
22,Nuzleaf,Pifeuil,"['Plante', 'Ténèbres']",70,70,60,40,40,60,2,340,56.67
